CIPTitle,INSTNM,Total,Pct,Denom
"Computer Engineering, General.",University of Connecticut,0,0,83
"Computer Engineering, General.",University of Delaware,0,0,120
"Computer Engineering, General.",University of Florida,2,0.013986013986013986,143
"Computer Engineering, General.",University of Iowa,1,0.015384615384615385,65
"Computer Engineering, General.",University of Louisiana at Lafayette,0,0,35
"Computer Engineering, General.",University of Louisville,2,0.04,50
"Computer Engineering, General.",University of Maryland-Baltimore County,1,0.1,10
"Computer Engineering, General.",University of Massachusetts-Dartmouth,1,0.09090909090909091,11
"Computer Engineering, General.",University of Massachusetts-Lowell,0,0,17
"Computer Engineering, General.",University of Michigan-Ann Arbor,4,0.02247191011235955,178
"Computer Engineering, General.",University of Nevada-Reno,0,0,37
"Computer Engineering, General.",University of Notre Dame,1,0.008928571428571428,112
"Computer Engineering, General.",University of Pittsburgh-Pittsburgh Campus,0,0,8
"Computer Engineering, General.",University of South Carolina-Columbia,1,0.015384615384615385,65
"Computer Engineering, General.",University of South Florida-Main Campus,2,0.03225806451612903,62
"Computer Engineering, General.",University of Southern California,0,0,29
"Computer Engineering, General.",University of Tulsa,0,0,5
"Computer Engineering, General.",University of Virginia-Main Campus,0,0,22
"Computer Engineering, General.",Virginia Polytechnic Institute and State University,0,0,112
"Computer Engineering, General.",Washington University in St Louis,0,0,17
"Computer Engineering, General.",Wayne State University,0,0,26
"Computer Engineering, General.",Wright State University-Main Campus,0,0,61
"Computer Engineering, Other.",University of California-Merced,0,0,30
Computer Graphics.,University of California-Irvine,0,0,3
"Computer Programming/Programmer, General.",University of Arkansas at Little Rock,1,0.0196078431372549,51
Computer Science.,Air Force Institute of Technology-Graduate School of Engineering & Management,2,0.09090909090909091,22
Computer Science.,Arizona State University-Tempe,2,0.011494252873563218,174
Computer Science.,Aspen University,0,0,3
Computer Science.,Binghamton University,0,0,52
Computer Science.,Boston University,0,0,53
Computer Science.,Brandeis University,0,0,20
Computer Science.,Brigham Young University-Provo,0,0,34
Computer Science.,Brown University,0,0,68
Computer Science.,California Institute of Technology,0,0,4
Computer Science.,Carnegie Mellon University,1,0.006896551724137931,145
Computer Science.,Case Western Reserve University,1,0.025,40
Computer Science.,Catholic University of America,0,0,10
Computer Science.,Clarkson University,0,0,4
Computer Science.,Colorado School of Mines,0,0,9
Computer Science.,Columbia University in the City of New York,0,0,142
Computer Science.,Cornell University,0,0,135
Computer Science.,CUNY Graduate School and University Center,1,0.01,100
Computer Science.,Dartmouth College,0,0,42
Computer Science.,DePaul University,2,0.1,20
Computer Science.,Drexel University,0,0,29
Computer Science.,Duke University,0,0,76
Computer Science.,Emory University,0,0,33
Computer Science.,Florida Institute of Technology,1,0.027777777777777776,36
Computer Science.,George Washington University,2,0.03333333333333333,60
Computer Science.,Georgetown University,0,0,12
Computer Science.,Georgia Institute of Technology-Main Campus,1,0.030303030303030304,33
Computer Science.,Georgia State University,1,0.012987012987012988,77
Computer Science.,Harvard University,0,0,71
Computer Science.,Illinois Institute of Technology,1,0.02040816326530612,49
Computer Science.,Indiana University-Bloomington,0,0,65
Computer Science.,Indiana University-Purdue University-Indianapolis,1,0.3333333333333333,3
Computer Science.,Iowa State University,0,0,75
Computer Science.,Kent State University at Kent,1,0.017543859649122806,57
Computer Science.,Lehigh University,0,0,27
Computer Science.,Louisiana State University and Agricultural & Mechanical College,4,0.06666666666666667,60
Computer Science.,Massachusetts Institute of Technology,4,0.013745704467353952,291
Computer Science.,Michigan Technological University,0,0,21
Computer Science.,Montana State University,0,0,19
Computer Science.,Naval Postgraduate School,0,0,7
Computer Science.,New Mexico Institute of Mining and Technology,0,0,10
Computer Science.,North Carolina A & T State University,1,0.3333333333333333,3
Computer Science.,North Carolina State University at Raleigh,0,0,179
Computer Science.,North Dakota State University-Main Campus,0,0,26
Computer Science.,Northwestern University,0,0,58
Computer Science.,Nova Southeastern University,4,0.08,50
Computer Science.,Oregon State University,0,0,56
Computer Science.,Pace University,1,0.1111111111111111,9
Computer Science.,Pennsylvania State University-Main Campus,2,0.011111111111111112,180
Computer Science.,Portland State University,0,0,35
Computer Science.,Purdue University-Main Campus,3,0.03296703296703297,91
Computer Science.,Rensselaer Polytechnic Institute,1,0.011235955056179775,89
Computer Science.,Southern Illinois University-Carbondale,0,0,25
Computer Science.,Southern Methodist University,0,0,29
Computer Science.,Stanford University,0,0,217
Computer Science.,Stevens Institute of Technology,0,0,25
Computer Science.,Texas A & M University-College Station,4,0.035398230088495575,113
Computer Science.,The University of Tennessee-Knoxville,0,0,40
Computer Science.,The University of Texas at El Paso,0,0,19
Computer Science.,The University of Texas at San Antonio,1,0.014925373134328358,67
Computer Science.,Toyota Technological Institute at Chicago,0,0,10
Computer Science.,Tufts University,1,0.041666666666666664,24
Computer Science.,University of Arizona,0,0,41
Computer Science.,University of California-Berkeley,2,0.008620689655172414,232
Computer Science.,University of California-Davis,1,0.005847953216374269,171
Computer Science.,University of California-Irvine,1,0.00909090909090909,110
Computer Science.,University of California-Los Angeles,3,0.013333333333333334,225
Computer Science.,University of California-Riverside,5,0.03875968992248062,129
Computer Science.,University of California-San Diego,2,0.011695906432748537,171
Computer Science.,University of California-Santa Barbara,0,0,127
Computer Science.,University of California-Santa Cruz,0,0,80
Computer Science.,University of Chicago,0,0,54
Computer Science.,University of Colorado Boulder,3,0.02631578947368421,114
Computer Science.,University of Denver,0,0,11
Computer Science.,University of Georgia,0,0,60
Computer Science.,University of Hawaii at Manoa,0,0,13
Computer Science.,University of Idaho,1,0.045454545454545456,22
Computer Science.,University of Illinois at Chicago,1,0.010416666666666666,96
Computer Science.,University of Illinois at Urbana-Champaign,3,0.008021390374331552,374
Computer Science.,University of Louisiana at Lafayette,0,0,44
Computer Science.,University of Maine,0,0,4
Computer Science.,University of Maryland-Baltimore County,3,0.041666666666666664,72
Computer Science.,University of Massachusetts-Amherst,2,0.013071895424836602,153
Computer Science.,University of Massachusetts-Boston,0,0,30
Computer Science.,University of Massachusetts-Lowell,0,0,30
Computer Science.,University of Memphis,2,0.058823529411764705,34
Computer Science.,University of Miami,1,0.1,10
Computer Science.,University of Minnesota-Twin Cities,1,0.0047169811320754715,212
Computer Science.,University of Nevada-Las Vegas,0,0,6
Computer Science.,University of North Carolina at Chapel Hill,3,0.02586206896551724,116
Computer Science.,University of North Dakota,0,0,3
Computer Science.,University of Oklahoma-Norman Campus,0,0,32
Computer Science.,University of Pittsburgh-Pittsburgh Campus,0,0,66
Computer Science.,University of Rochester,0,0,56
Computer Science.,University of Southern California,0,0,245
Computer Science.,University of Tulsa,0,0,33
Computer Science.,University of Utah,0,0,72
Computer Science.,University of Vermont,0,0,18
Computer Science.,University of Wyoming,0,0,13
Computer Science.,Vanderbilt University,0,0,58
Computer Science.,Washington State University,0,0,49
Computer Science.,Washington University in St Louis,0,0,55
Computer Science.,West Virginia University,0,0,20
Computer Science.,Western Michigan University,0,0,23
Computer Science.,Worcester Polytechnic Institute,0,0,41
Computer Science.,NA,0,0,13
"Computer Software and Media Applications, Other.",Georgia Institute of Technology-Main Campus,0,0,1
Computer Software Engineering.,Carnegie Mellon University,0,0,11
Computer Software Engineering.,Naval Postgraduate School,0,0,7
Computer Software Engineering.,North Dakota State University-Main Campus,0,0,19
Computer Software Engineering.,Southern Methodist University,1,0.1,10
Computer Software Engineering.,The University of Texas at Dallas,0,0,16
Computer Software Engineering.,University of California-Irvine,0,0,7
Computer Software Technology/Technician.,University of Michigan-Dearborn,0,0,10
Computer Systems Analysis/Analyst.,Howard University,3,0.6,5
Computer Systems Analysis/Analyst.,University of Illinois at Chicago,0,0,6
Computer Systems Networking and Telecommunications.,Stevens Institute of Technology,0,0,1
Computer Systems Networking and Telecommunications.,University of California-Irvine,0,0,21
Computer Teacher Education.,University of North Texas,0,0,29
Computer/Computer Systems Technology/Technician.,Rensselaer Polytechnic Institute,0,0,10
"Computer/Information Technology Services Administration and Management, Other.",Naval Postgraduate School,0,0,3
Condensed Matter and Materials Physics.,Iowa State University,0,0,51
Condensed Matter and Materials Physics.,Michigan Technological University,0,0,5
Conducting.,Boston University,1,0.04,25
Conducting.,Catholic University of America,0,0,4
Conducting.,Johns Hopkins University,0,0,10
Conducting.,Michigan State University,7,0.17073170731707318,41
Conducting.,Northwestern University,0,0,23
Conducting.,Texas Christian University,0,0,1
Conducting.,The University of Texas at Austin,2,0.14285714285714285,14
Conducting.,University of Houston,0,0,5
Conducting.,University of Miami,0,0,20
Conducting.,University of Michigan-Ann Arbor,1,0.03333333333333333,30
Conducting.,University of Missouri-Kansas City,0,0,21
Conducting.,University of Rochester,0,0,18
Conducting.,University of South Carolina-Columbia,3,0.07142857142857142,42
Conducting.,University of Washington-Seattle Campus,0,0,14
Conservation Biology.,SUNY College of Environmental Science and Forestry,0,0,21
Conservation Biology.,University of Central Florida,0,0,25
Conservation Biology.,University of Minnesota-Twin Cities,0,0,43
Conservation Biology.,University of New Orleans,0,0,12
Construction Engineering Technology/Technician.,Michigan State University,0,0,8
Construction Engineering.,Carnegie Mellon University,0,0,4
"Construction Management, General.",Arizona State University-Tempe,1,0.03571428571428571,28
Consumer Merchandising/Retailing Management.,Michigan State University,0,0,10
"Corrections and Criminal Justice, Other.",Prairie View A & M University,5,0.7142857142857143,7
Counseling Psychology.,Adams State University,0,0,8
Counseling Psychology.,American International College,3,0.6,5
Counseling Psychology.,Andrews University,2,0.18181818181818182,11
Counseling Psychology.,Argosy University-Chicago,20,0.6896551724137931,29
Counseling Psychology.,Argosy University-Denver,0,0,11
Counseling Psychology.,Argosy University-Hawaii,0,0,8
Counseling Psychology.,Argosy University-Inland Empire,17,0.5,34
Counseling Psychology.,Argosy University-Los Angeles,11,0.4074074074074074,27
Counseling Psychology.,Argosy University-Northern Virginia,71,0.7802197802197802,91
Counseling Psychology.,Argosy University-Orange County,9,0.15789473684210525,57
Counseling Psychology.,Argosy University-Phoenix Online Division,114,0.397212543554007,287
Counseling Psychology.,Argosy University-Salt Lake City,0,0,6
Counseling Psychology.,Argosy University-San Diego,5,0.18518518518518517,27
Counseling Psychology.,Argosy University-San Francisco Bay Area,27,0.313953488372093,86
Counseling Psychology.,Argosy University-Sarasota,106,0.5326633165829145,199
Counseling Psychology.,Argosy University-Schaumburg,3,0.21428571428571427,14
Counseling Psychology.,Argosy University-Seattle,1,0.058823529411764705,17
Counseling Psychology.,Auburn University,17,0.2236842105263158,76
Counseling Psychology.,Ball State University,1,0.0136986301369863,73
Counseling Psychology.,Barry University,10,0.23255813953488372,43
Counseling Psychology.,Boston College,9,0.1836734693877551,49
Counseling Psychology.,Boston University,1,0.05555555555555555,18
Counseling Psychology.,Capella University,3,0.2727272727272727,11
Counseling Psychology.,College of Saint Elizabeth,3,0.21428571428571427,14
Counseling Psychology.,Columbia University in the City of New York,1,0.01818181818181818,55
Counseling Psychology.,Fordham University,8,0.11594202898550725,69
Counseling Psychology.,Gannon University,0,0,12
Counseling Psychology.,Howard University,31,0.8611111111111112,36
Counseling Psychology.,Inter American University of Puerto Rico-Metro,0,0,60
Counseling Psychology.,Inter American University of Puerto Rico-San German,0,0,34
Counseling Psychology.,Lehigh University,5,0.11363636363636363,44
Counseling Psychology.,Liberty University,7,0.08536585365853659,82
Counseling Psychology.,Louisiana Tech University,2,0.045454545454545456,44
Counseling Psychology.,Loyola University Chicago,8,0.25,32
Counseling Psychology.,Marquette University,4,0.09302325581395349,43
Counseling Psychology.,Mercer University,10,0.45454545454545453,22
Counseling Psychology.,Mississippi College,77,0.616,125
Counseling Psychology.,National Louis University,1,0.5,2
Counseling Psychology.,New York University,3,0.08571428571428572,35
Counseling Psychology.,Northeastern University,4,0.10526315789473684,38
Counseling Psychology.,Northwest University,0,0,29
Counseling Psychology.,Pennsylvania State University-Main Campus,3,0.1111111111111111,27
Counseling Psychology.,Seton Hall University,10,0.25,40
Counseling Psychology.,SUNY at Albany,2,0.0392156862745098,51
Counseling Psychology.,Teachers College at Columbia University,12,0.21052631578947367,57
Counseling Psychology.,Temple University,3,0.75,4
Counseling Psychology.,Texas A & M University-College Station,12,0.2,60
Counseling Psychology.,Texas A & M University-Commerce,4,0.23529411764705882,17
Counseling Psychology.,Texas Tech University,2,0.044444444444444446,45
Counseling Psychology.,Texas Woman's University,2,0.038461538461538464,52
Counseling Psychology.,Universidad Ana G. Mendez-Gurabo Campus,0,0,38
Counseling Psychology.,University at Buffalo,6,0.08108108108108109,74
Counseling Psychology.,University of Akron Main Campus,4,0.05970149253731343,67
Counseling Psychology.,University of Chicago,3,0.05263157894736842,57
Counseling Psychology.,University of Denver,0,0,50
Counseling Psychology.,University of Florida,3,0.058823529411764705,51
Counseling Psychology.,University of Georgia,20,0.273972602739726,73
Counseling Psychology.,University of Houston,8,0.14814814814814814,54
Counseling Psychology.,University of Iowa,3,0.075,40
Counseling Psychology.,University of Kansas,3,0.058823529411764705,51
Counseling Psychology.,University of Kentucky,7,0.19444444444444445,36
Counseling Psychology.,University of Memphis,5,0.0847457627118644,59
Counseling Psychology.,University of Miami,1,0.02631578947368421,38
Counseling Psychology.,University of Missouri-Kansas City,3,0.08108108108108109,37
Counseling Psychology.,University of North Dakota,2,0.04081632653061224,49
Counseling Psychology.,University of North Texas,4,0.06557377049180328,61
Counseling Psychology.,University of Northern Colorado,2,0.03773584905660377,53
Counseling Psychology.,University of Oklahoma-Norman Campus,4,0.06779661016949153,59
Counseling Psychology.,University of Oregon,4,0.07407407407407407,54
Counseling Psychology.,University of South Dakota,0,0,34
Counseling Psychology.,University of St Thomas,1,0.009259259259259259,108
Counseling Psychology.,University of Wisconsin-Madison,6,0.16216216216216217,37
Counseling Psychology.,Virginia Commonwealth University,9,0.17307692307692307,52
Counseling Psychology.,Washington State University,4,0.10810810810810811,37
Counseling Psychology.,West Virginia University,3,0.075,40
Counseling Psychology.,Western Michigan University,18,0.29508196721311475,61
Counselor Education/School Counseling and Guidance Services.,Arizona State University-Tempe,2,0.04,50
Counselor Education/School Counseling and Guidance Services.,Auburn University,12,0.25,48
Counselor Education/School Counseling and Guidance Services.,Capella University,4,0.10526315789473684,38
Counselor Education/School Counseling and Guidance Services.,College of William and Mary,6,0.15789473684210525,38
Counselor Education/School Counseling and Guidance Services.,Duquesne University,5,0.0847457627118644,59
Counselor Education/School Counseling and Guidance Services.,Florida Atlantic University,4,0.11428571428571428,35
Counselor Education/School Counseling and Guidance Services.,Florida State University,5,0.07692307692307693,65
Counselor Education/School Counseling and Guidance Services.,Fordham University,5,0.058823529411764705,85
Counselor Education/School Counseling and Guidance Services.,George Washington University,5,0.10416666666666667,48
Counselor Education/School Counseling and Guidance Services.,Georgia State University,11,0.2,55
Counselor Education/School Counseling and Guidance Services.,Governors State University,5,0.3125,16
Counselor Education/School Counseling and Guidance Services.,Indiana State University,6,0.125,48
Counselor Education/School Counseling and Guidance Services.,Indiana University-Bloomington,7,0.1320754716981132,53
Counselor Education/School Counseling and Guidance Services.,Inter American University of Puerto Rico-Metro,0,0,26
Counselor Education/School Counseling and Guidance Services.,Kansas State University,2,0.07692307692307693,26
Counselor Education/School Counseling and Guidance Services.,Kent State University at Kent,6,0.11538461538461539,52
Counselor Education/School Counseling and Guidance Services.,La Sierra University,0,0,3
Counselor Education/School Counseling and Guidance Services.,Michigan State University,0,0,1
Counselor Education/School Counseling and Guidance Services.,Minnesota State University-Mankato,0,0,14
Counselor Education/School Counseling and Guidance Services.,Mississippi State University,3,0.3333333333333333,9
Counselor Education/School Counseling and Guidance Services.,New Mexico State University-Main Campus,2,0.041666666666666664,48
Counselor Education/School Counseling and Guidance Services.,New York University,0,0,1
Counselor Education/School Counseling and Guidance Services.,North Carolina State University at Raleigh,18,0.32727272727272727,55
Counselor Education/School Counseling and Guidance Services.,North Dakota State University-Main Campus,1,0.1,10
Counselor Education/School Counseling and Guidance Services.,Northern Illinois University,8,0.23529411764705882,34
Counselor Education/School Counseling and Guidance Services.,Oakland University,5,0.19230769230769232,26
Counselor Education/School Counseling and Guidance Services.,Ohio University-Main Campus,5,0.12195121951219512,41
Counselor Education/School Counseling and Guidance Services.,Oregon State University,2,0.03278688524590164,61
Counselor Education/School Counseling and Guidance Services.,Pennsylvania State University-Main Campus,7,0.14285714285714285,49
Counselor Education/School Counseling and Guidance Services.,Regent University,21,0.15671641791044777,134
Counselor Education/School Counseling and Guidance Services.,Rutgers University-New Brunswick,0,0,1
Counselor Education/School Counseling and Guidance Services.,Saint Louis University,2,0.18181818181818182,11
Counselor Education/School Counseling and Guidance Services.,Sam Houston State University,12,0.1791044776119403,67
Counselor Education/School Counseling and Guidance Services.,Seattle Pacific University,0,0,4
Counselor Education/School Counseling and Guidance Services.,Southern Illinois University-Carbondale,1,0.2,5
Counselor Education/School Counseling and Guidance Services.,St. Mary's University,2,0.0625,32
Counselor Education/School Counseling and Guidance Services.,Syracuse University,3,0.21428571428571427,14
Counselor Education/School Counseling and Guidance Services.,Texas A & M University-Commerce,7,0.22580645161290322,31
Counselor Education/School Counseling and Guidance Services.,Texas A & M University-Corpus Christi,6,0.09836065573770492,61
Counselor Education/School Counseling and Guidance Services.,Texas Christian University,0,0,5
Counselor Education/School Counseling and Guidance Services.,Texas Southern University,27,0.84375,32
Counselor Education/School Counseling and Guidance Services.,Texas Tech University,2,0.05555555555555555,36
Counselor Education/School Counseling and Guidance Services.,The Chicago School of Professional Psychology at Chicago,1,0.25,4
Counselor Education/School Counseling and Guidance Services.,The Chicago School of Professional Psychology at Washington DC,4,1,4
Counselor Education/School Counseling and Guidance Services.,The University of Alabama,4,0.5,8
Counselor Education/School Counseling and Guidance Services.,The University of Montana,0,0,15
Counselor Education/School Counseling and Guidance Services.,The University of Texas at San Antonio,5,0.10204081632653061,49
Counselor Education/School Counseling and Guidance Services.,University at Buffalo,2,0.10526315789473684,19
Counselor Education/School Counseling and Guidance Services.,University of Akron Main Campus,7,0.25,28
Counselor Education/School Counseling and Guidance Services.,University of Arkansas,2,0.06896551724137931,29
Counselor Education/School Counseling and Guidance Services.,University of Cincinnati-Main Campus,3,0.09375,32
Counselor Education/School Counseling and Guidance Services.,University of Florida,4,0.1111111111111111,36
Counselor Education/School Counseling and Guidance Services.,University of Iowa,14,0.3333333333333333,42
Counselor Education/School Counseling and Guidance Services.,University of Louisville,9,0.13846153846153847,65
Counselor Education/School Counseling and Guidance Services.,University of Maine,0,0,4
Counselor Education/School Counseling and Guidance Services.,University of Maryland-College Park,13,0.125,104
Counselor Education/School Counseling and Guidance Services.,University of Memphis,6,0.3,20
Counselor Education/School Counseling and Guidance Services.,University of Mississippi,5,0.19230769230769232,26
Counselor Education/School Counseling and Guidance Services.,University of Missouri-Columbia,15,0.12396694214876033,121
Counselor Education/School Counseling and Guidance Services.,University of Nevada-Reno,1,0.045454545454545456,22
Counselor Education/School Counseling and Guidance Services.,University of New Mexico-Main Campus,2,0.125,16
Counselor Education/School Counseling and Guidance Services.,University of New Orleans,4,0.08888888888888889,45
Counselor Education/School Counseling and Guidance Services.,University of North Carolina at Charlotte,11,0.2037037037037037,54
Counselor Education/School Counseling and Guidance Services.,University of North Carolina at Greensboro,8,0.12121212121212122,66
Counselor Education/School Counseling and Guidance Services.,University of North Texas,0,0,72
Counselor Education/School Counseling and Guidance Services.,University of Northern Colorado,1,0.038461538461538464,26
Counselor Education/School Counseling and Guidance Services.,University of Puerto Rico-Rio Piedras,0,0,36
Counselor Education/School Counseling and Guidance Services.,University of Rochester,0,0,2
Counselor Education/School Counseling and Guidance Services.,University of South Carolina-Columbia,16,0.3333333333333333,48
Counselor Education/School Counseling and Guidance Services.,University of West Georgia,13,0.34210526315789475,38
Counselor Education/School Counseling and Guidance Services.,University of Wisconsin-Madison,1,0.0625,16
Counselor Education/School Counseling and Guidance Services.,University of Wyoming,0,0,33
Counselor Education/School Counseling and Guidance Services.,Virginia Polytechnic Institute and State University,10,0.2631578947368421,38
Counselor Education/School Counseling and Guidance Services.,Wayne State University,5,0.2777777777777778,18
Counselor Education/School Counseling and Guidance Services.,Western Michigan University,8,0.34782608695652173,23
Creative Writing.,University of Cincinnati-Main Campus,0,0,8
Creative Writing.,University of Houston,3,0.05357142857142857,56
Creative Writing.,University of Louisiana at Lafayette,0,0,1
Creative Writing.,Western Michigan University,0,0,27
Criminal Justice/Law Enforcement Administration.,CUNY Graduate School and University Center,8,0.08,100
Criminal Justice/Law Enforcement Administration.,George Mason University,2,0.08695652173913043,23
Criminal Justice/Law Enforcement Administration.,Michigan State University,1,0.025,40
Criminal Justice/Law Enforcement Administration.,Texas Southern University,17,0.7727272727272727,22
Criminal Justice/Law Enforcement Administration.,Texas State University,0,0,28
Criminal Justice/Law Enforcement Administration.,University of Louisville,0,0,16
Criminal Justice/Law Enforcement Administration.,University of New Haven,0,0,6
Criminal Justice/Law Enforcement Administration.,Walden University,2,0.25,8
Criminal Justice/Police Science.,Washington State University,1,0.03333333333333333,30
Criminal Justice/Safety Studies.,American University,0,0,21
Criminal Justice/Safety Studies.,Capella University,67,0.29130434782608694,230
Criminal Justice/Safety Studies.,Florida State University,1,0.019230769230769232,52
Criminal Justice/Safety Studies.,Georgia State University,1,0.09090909090909091,11
Criminal Justice/Safety Studies.,Indiana University-Bloomington,1,0.041666666666666664,24
Criminal Justice/Safety Studies.,North Dakota State University-Main Campus,0,0,10
Criminal Justice/Safety Studies.,Northeastern University,2,0.05128205128205128,39
Criminal Justice/Safety Studies.,Nova Southeastern University,2,0.06451612903225806,31
Criminal Justice/Safety Studies.,Pennsylvania State University-Main Campus,0,0,6
Criminal Justice/Safety Studies.,Rutgers University-Newark,6,0.09375,64
Criminal Justice/Safety Studies.,Sam Houston State University,2,0.02564102564102564,78
Criminal Justice/Safety Studies.,SUNY at Albany,2,0.038461538461538464,52
Criminal Justice/Safety Studies.,Temple University,2,0.07692307692307693,26
Criminal Justice/Safety Studies.,University of Arkansas at Little Rock,1,0.09090909090909091,11
Criminal Justice/Safety Studies.,University of Cincinnati-Main Campus,2,0.02702702702702703,74
Criminal Justice/Safety Studies.,University of Illinois at Chicago,6,0.1875,32
Criminal Justice/Safety Studies.,University of Nebraska at Omaha,0,0,23
Criminal Justice/Safety Studies.,University of Nevada-Las Vegas,0,0,1
Criminal Justice/Safety Studies.,University of North Dakota,0,0,10
Criminal Justice/Safety Studies.,University of Southern Mississippi,2,0.14285714285714285,14
Criminalistics and Criminal Science.,University of Massachusetts-Lowell,1,0.07692307692307693,13
Criminology.,Arizona State University-Downtown Phoenix,0,0,27
Criminology.,Arizona State University-Tempe,0,0,2
Criminology.,Indiana University of Pennsylvania-Main Campus,2,0.044444444444444446,45
Criminology.,Old Dominion University,1,0.04,25
Criminology.,Pennsylvania State University-Main Campus,0,0,3
Criminology.,Southern Illinois University-Carbondale,0,0,3
Criminology.,The University of Texas at Dallas,3,0.08108108108108109,37
Criminology.,University of California-Irvine,2,0.031746031746031744,63
Criminology.,University of Delaware,3,0.23076923076923078,13
Criminology.,University of Florida,3,0.07894736842105263,38
Criminology.,University of Maryland-College Park,2,0.0392156862745098,51
Criminology.,University of Missouri-St Louis,5,0.1724137931034483,29
Criminology.,University of Pennsylvania,0,0,13
Criminology.,University of South Carolina-Columbia,0,0,19
Criminology.,University of South Florida-Main Campus,1,0.027777777777777776,36
Crisis/Emergency/Disaster Management.,Capella University,12,0.22641509433962265,53
Crisis/Emergency/Disaster Management.,North Dakota State University-Main Campus,1,0.1,10
Crisis/Emergency/Disaster Management.,University of Delaware,1,0.07142857142857142,14
Critical Care Nursing.,New York University,0,0,1
Critical Care Nursing.,Winona State University,1,0.125,8
Crop Production.,Iowa State University,0,0,9
Cultural Anthropology.,The New School,2,0.07692307692307693,26
Cultural Anthropology.,University of Washington-Seattle Campus,0,0,2
Cultural Resource Management and Policy Analysis.,Carnegie Mellon University,0,0,3
Cultural Studies/Critical Theory and Analysis.,California Institute of Integral Studies,0,0,1
Cultural Studies/Critical Theory and Analysis.,University of California-Irvine,2,0.25,8
Curriculum and Instruction.,Andrews University,10,0.38461538461538464,26
Curriculum and Instruction.,Argosy University-Atlanta,206,0.8373983739837398,246
Curriculum and Instruction.,Argosy University-Chicago,10,0.5882352941176471,17
Curriculum and Instruction.,Argosy University-Dallas,2,1,2
Curriculum and Instruction.,Argosy University-Denver,1,0.08333333333333333,12
Curriculum and Instruction.,Argosy University-Hawaii,2,0.05555555555555555,36
Curriculum and Instruction.,Argosy University-Inland Empire,2,0.2857142857142857,7
Curriculum and Instruction.,Argosy University-Los Angeles,6,0.75,8
Curriculum and Instruction.,Argosy University-Nashville,8,0.7272727272727273,11
Curriculum and Instruction.,Argosy University-Northern Virginia,15,0.5555555555555556,27
Curriculum and Instruction.,Argosy University-Orange County,8,0.4,20
Curriculum and Instruction.,Argosy University-Phoenix,1,0.041666666666666664,24
Curriculum and Instruction.,Argosy University-Phoenix Online Division,86,0.39814814814814814,216
Curriculum and Instruction.,Argosy University-San Diego,1,0.5,2
Curriculum and Instruction.,Argosy University-San Francisco Bay Area,3,0.08333333333333333,36
Curriculum and Instruction.,Argosy University-Sarasota,70,0.47297297297297297,148
Curriculum and Instruction.,Argosy University-Schaumburg,2,0.18181818181818182,11
Curriculum and Instruction.,Argosy University-Seattle,2,0.2,10
Curriculum and Instruction.,Argosy University-Tampa,7,0.4375,16
Curriculum and Instruction.,Argosy University-Twin Cities,0,0,12
Curriculum and Instruction.,Arizona State University-Tempe,5,0.028089887640449437,178
Curriculum and Instruction.,Aurora University,4,0.05555555555555555,72
Curriculum and Instruction.,Barry University,4,0.15384615384615385,26
Curriculum and Instruction.,Baylor University,2,0.06060606060606061,33
Curriculum and Instruction.,Bob Jones University,0,0,28
Curriculum and Instruction.,Boise State University,1,0.013513513513513514,74
Curriculum and Instruction.,Boston College,5,0.056179775280898875,89
Curriculum and Instruction.,Boston University,0,0,60
Curriculum and Instruction.,Capella University,128,0.32904884318766064,389
Curriculum and Instruction.,Chapman University,2,0.047619047619047616,42
Curriculum and Instruction.,Clemson University,2,0.034482758620689655,58
Curriculum and Instruction.,DePaul University,8,0.20512820512820512,39
Curriculum and Instruction.,Duquesne University,0,0,15
Curriculum and Instruction.,Florida Atlantic University,9,0.125,72
Curriculum and Instruction.,Florida International University,14,0.1794871794871795,78
Curriculum and Instruction.,Florida State University,3,0.08571428571428572,35
Curriculum and Instruction.,Fordham University,4,0.07547169811320754,53
Curriculum and Instruction.,Gardner-Webb University,29,0.18354430379746836,158
Curriculum and Instruction.,George Washington University,4,0.10810810810810811,37
Curriculum and Instruction.,Georgia Southern University,38,0.23030303030303031,165
Curriculum and Instruction.,Georgia State University,7,0.4666666666666667,15
Curriculum and Instruction.,Grambling State University,1,1,1
Curriculum and Instruction.,Illinois State University,7,0.125,56
Curriculum and Instruction.,Indiana State University,7,0.07692307692307693,91
Curriculum and Instruction.,Indiana University of Pennsylvania-Main Campus,1,0.045454545454545456,22
Curriculum and Instruction.,Indiana University-Bloomington,4,0.041237113402061855,97
Curriculum and Instruction.,Inter American University of Puerto Rico-Metro,0,0,40
Curriculum and Instruction.,Inter American University of Puerto Rico-San German,0,0,76
Curriculum and Instruction.,Iowa State University,0,0,18
Curriculum and Instruction.,Kansas State University,4,0.046511627906976744,86
Curriculum and Instruction.,Keiser University-Ft Lauderdale,2,0.6666666666666666,3
Curriculum and Instruction.,Kent State University at Kent,6,0.05825242718446602,103
Curriculum and Instruction.,La Sierra University,0,0,4
Curriculum and Instruction.,Lehigh University,0,0,1
Curriculum and Instruction.,Liberty University,20,0.15037593984962405,133
Curriculum and Instruction.,Lincoln Memorial University,8,0.25806451612903225,31
Curriculum and Instruction.,Lindenwood University,6,0.17647058823529413,34
Curriculum and Instruction.,Louisiana State University and Agricultural & Mechanical College,18,0.2222222222222222,81
Curriculum and Instruction.,Louisiana Tech University,1,0.14285714285714285,7
